CustomerID,Merchant,Predicted_Amount,Balance,Risk_Level
C1,company,39600.0,134933,Low
C1,dmart,-701.52,107509,Low
C1,flipkart,-1074.86,108978,Low
C1,gym membership,-1200.0,95313,Low
C1,netflix,-499.0,94814,Low
C1,spotify,-199.0,117689,Low
C1,swiggy,-1066.28,109386,Low
C1,uber,-1163.22,105780,Low
C1,zomato,-811.95,108400,Low
C10,amazon prime,-999.0,377,Low
C10,dmart,-977.62,33,Low
C10,electricity bill,-1500.0,33,Low
C10,medical store,-1134.5,33,Low
C10,petrol pump,-921.52,33,Low
C10,reliance smart,-1053.17,33,Low
C10,spotify,-199.0,178,Low
C10,swiggy,-1024.87,33,Low
C10,uber,-1281.36,33,Low
C100,amazon prime,-999.0,93024,Low
C100,dmart,-1019.54,80080,Low
C100,electricity bill,-1500.0,88984,Low
C100,flipkart,-935.26,78503,Low
C100,medical store,-958.61,30969,Low
C100,netflix,-499.0,77799,Low
C100,petrol pump,-951.22,84217,Low
C100,reliance smart,-961.21,79809,Low
C100,swiggy,-890.2,76641,Low
C100,zomato,-1034.45,78298,Low
C101,cafe coffee day,-853.94,54709,Low
C101,company,35833.0,66425,Low
C101,dmart,-907.47,48639,Low
C101,electricity bill,-1500.0,44400,Low
C101,gym membership,-1200.0,45900,Low
C101,medical store,-1038.85,42856,Low
C101,reliance smart,-993.53,58572,Low
C101,uber,-1269.25,44028,Low
C101,zomato,-965.0,38928,Low
C102,cafe coffee day,-915.04,87619,Low
C102,flipkart,-914.43,86284,Low
C102,medical store,-1085.81,89846,Low
C102,netflix,-499.0,112133,Low
C102,petrol pump,-1115.86,85053,Low
C102,uber,-1193.56,95383,Low
C102,zomato,-992.77,85031,Low
C103,amazon prime,-999.0,107197,Low
C103,cafe coffee day,-1105.05,126296,Low
C103,company,36321.14,128628,Low
C103,electricity bill,-1500.0,124796,Low
C103,flipkart,-1024.94,108616,Low
C103,medical store,-1098.79,108196,Low
C103,petrol pump,-1091.91,106141,Low
C103,reliance smart,-1021.41,123115,Low
C103,spotify,-199.0,119806,Low
C103,swiggy,-985.46,112359,Low
C103,uber,-830.12,114635,Low
C104,company,36350.33,51197,Low
