CustomerID,TransactionID,Date,Description,Merchant,Amount,Balance,SubscriptionFlag,Transaction_Type,Frequency,Next_Expected_Date
C253,T49756,2025-01-01,amazon prime subscription,amazon prime,-999,14400,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C111,T21830,2025-01-02,amazon prime subscription,amazon prime,-999,14593,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C471,T92961,2025-01-03,amazon prime subscription,amazon prime,-999,31139,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C453,T89454,2025-01-04,amazon prime subscription,amazon prime,-999,6634,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C317,T62383,2025-01-05,amazon prime subscription,amazon prime,-999,9134,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C265,T52147,2025-01-06,amazon prime subscription,amazon prime,-999,5104,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C372,T73454,2025-01-07,amazon prime subscription,amazon prime,-999,3875,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C55,T10732,2025-01-08,amazon prime subscription,amazon prime,-999,120311,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C465,T91806,2025-01-09,amazon prime subscription,amazon prime,-999,28252,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C445,T87856,2025-01-10,amazon prime subscription,amazon prime,-999,48321,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C100,T19651,2025-01-11,amazon prime subscription,amazon prime,-999,33,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C485,T95629,2025-01-12,amazon prime subscription,amazon prime,-999,38167,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C416,T82085,2025-01-13,amazon prime subscription,amazon prime,-999,24689,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C80,T15691,2025-01-14,amazon prime subscription,amazon prime,-999,2705,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C33,T6366,2025-01-15,amazon prime subscription,amazon prime,-999,1699,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C244,T48028,2025-01-16,amazon prime subscription,amazon prime,-999,28293,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
